item_id,model_name,model_type,expected,parsed_output,is_correct,latency_ms,prompt_tokens,completion_tokens,raw_output
21,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,193.27,95,12,"{""category"": ""Non-Compete""}"
22,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,246.28,95,12,"{""category"": ""Non-Compete""}"
23,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,251.43,95,12,"{""category"": ""Non-Compete""}"
24,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,180.07,95,12,"{""category"": ""Non-Compete""}"
25,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,218.42,95,12,"{""category"": ""Non-Compete""}"
26,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,194.52,95,12,"{""category"": ""Non-Compete""}"
27,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,277.86,95,12,"{""category"": ""Non-Compete""}"
28,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,239.85,95,12,"{""category"": ""Non-Compete""}"
29,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,234.5,95,12,"{""category"": ""Non-Compete""}"
30,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,285.45,95,12,"{""category"": ""Non-Compete""}"
31,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,245.06,95,12,"{""category"": ""Exclusivity""}"
32,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,208.09,95,12,"{""category"": ""Exclusivity""}"
33,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,232.08,95,12,"{""category"": ""Exclusivity""}"
34,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,274.79,95,12,"{""category"": ""Exclusivity""}"
35,gpt-4o-mini,cheap_api,Exclusivity,Termination,0,243.29,95,12,"{""category"": ""Termination""}"
36,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,286.99,95,12,"{""category"": ""Exclusivity""}"
37,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,314.28,95,12,"{""category"": ""Exclusivity""}"
38,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,215.94,95,12,"{""category"": ""Exclusivity""}"
39,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,276.45,95,12,"{""category"": ""Exclusivity""}"
40,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,217.17,95,12,"{""category"": ""Exclusivity""}"
41,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,252.24,95,12,"{""category"": ""Audit Rights""}"
42,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,277.32,95,12,"{""category"": ""Audit Rights""}"
43,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,256.43,95,12,"{""category"": ""Audit Rights""}"
44,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,307.12,95,12,"{""category"": ""Audit Rights""}"
45,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,295.75,95,12,"{""category"": ""Audit Rights""}"
46,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,211.83,95,12,"{""category"": ""Audit Rights""}"
47,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,189.67,95,12,"{""category"": ""Audit Rights""}"
48,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,187.24,95,12,"{""category"": ""Audit Rights""}"
49,gpt-4o-mini,cheap_api,Audit Rights,Termination,0,316.42,95,12,"{""category"": ""Termination""}"
50,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,240.69,95,12,"{""category"": ""Audit Rights""}"
